Tab.2.5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausländische Studierende in Deutschland nach Hochschularten und Herkunftsstaaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Universität 1),Fachhochschule 2)
,WS 1980/1981,WS 1990/1991,WS 1992/1993,WS 1994/1995,WS 1996/1997,WS 1997/1998,WS 1998/1999,WS 1999/2000,WS 2000/2001,WS 2001/2002,WS 2002/2003,WS 2003/2004,WS 2004/2005,WS 2005/2006,WS 2006/2007,WS 2007/2008,WS 2008/2009,WS 2009/2010,WS 2010/2011,WS 2011/2012,WS 2012/2013,WS 2013/2014,WS 2014/2015,WS 2015/2016,WS 2016/2017,WS 2017/2018,WS 2018/2019,WS 2019/2020,WS 2019/2020,WS 2019/2020
Staatsangehörigkeit,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
Europa,29404,53151,67235,82216,92773,98535,104368,110262,117372,127441,136289,144915,142843,142801,140292,131603,133894,137094,141553,148623,156745,164660,172244,178290,182734,183635,184332,183293,123019,60274
  EU-Staaten 3),7967,23311,28008,32386,42211,43149,43479,43330,43418,44011,44017,44158,66944,66059,64225,74155,74207,74583,76052,79088,83460,91912,96367,99478,101153,101324,101594,101056,71519,29537
    Belgien,476,680,793,889,951,934,939,927,923,949,971,958,934,917,957,920,969,1000,1109,1204,1374,1410,1491,1602,1659,1719,1728,1771,1245,526
    Bulgarien,121,183,841,1119,1434,1742,2291,3307,5015,7321,9897,12048,12848,12794,12170,10504,9544,8696,7997,7486,7226,7223,7231,7325,7311,6911,6692,6568,5064,1504
    Dänemark,209,372,530,667,646,609,637,607,649,674,640,674,564,568,485,468,449,445,505,550,616,635,679,647,662,655,639,646,518,128
    Estland,m,m,39,129,191,210,269,346,436,582,617,720,760,780,724,677,624,608,616,635,604,562,564,538,505,492,455,445,368,77
    Finnland,800,781,919,1104,1058,1103,1066,1099,998,1022,929,1037,917,912,853,713,776,818,871,909,914,961,983,1013,1072,966,934,829,544,285
    Frankreich,2504,3716,4733,5617,5894,6077,6146,6204,6246,6356,6245,6431,6290,6074,5982,5476,5988,6206,6394,6539,7000,7342,8373,8453,8539,8408,8278,8104,5967,2137
    Griechenland,5204,6465,7167,7663,7945,7998,7800,7708,7516,7451,7254,7043,6115,5850,5643,5218,5182,5307,5473,5931,6533,7072,7386,7540,7725,7734,7662,7430,5437,1993
    Irland,101,286,431,521,568,622,559,573,536,518,506,479,408,435,413,353,386,369,409,475,466,512,559,604,673,709,713,741,542,199
    Italien,1142,3267,4207,5160,5784,6092,6363,6547,6771,6879,7074,7183,6810,6701,6614,6512,6863,7469,8154,8930,9934,10916,12206,13256,14038,14485,14922,14975,10999,3976
    Kroatien,m,m,508,2016,3258,3760,4060,4374,4614,4734,4730,4795,4556,4414,4186,3975,4004,4109,4102,4197,4345,4626,4677,4753,4746,4686,4653,4620,2619,2001
    Lettland,m,m,55,130,218,270,377,514,600,749,839,891,899,918,886,823,751,790,831,824,917,922,890,889,872,827,795,753,556,197
    Litauen,m,m,53,153,311,430,556,713,959,1214,1465,1667,1701,1747,1667,1510,1390,1274,1199,1177,1182,1177,1186,1178,1131,1081,1084,1065,784,281
    Luxemburg,678,1107,1190,1169,1197,1275,1381,1465,1605,1782,1915,2008,2132,2242,2373,2484,2641,2803,2953,3197,3364,3627,3838,4124,4390,4670,4852,5022,3640,1382
    Malta,4,7,14,24,30,31,32,46,53,54,53,49,41,36,27,21,26,30,32,24,23,33,36,37,39,31,40,38,33,5
    Niederlande,1434,2113,2256,2350,2233,2155,2110,1927,1770,1726,1755,1746,1570,1468,1447,1429,1465,1449,1561,1723,1905,2111,2405,2680,2840,2892,2889,2852,2026,826
    Österreich,2437,5101,5772,6154,6187,6298,6300,6106,6127,6422,6389,6373,5770,5930,6153,6018,7014,7770,8775,9695,10509,11235,11832,12180,12652,13194,13618,14190,8035,6155
    Polen,414,2136,2714,3813,5271,5965,7015,8181,9328,10936,12601,14350,14896,15183,14493,13028,12252,11325,10306,9852,9532,9142,9104,8947,8260,7773,7501,7211,5213,1998
    Portugal,239,663,839,1060,1303,1399,1448,1466,1527,1612,1667,1639,1487,1383,1341,1315,1400,1446,1618,1695,1852,2118,2272,2443,2588,2689,2785,2793,1819,974
    Rumänien,182,313,584,782,998,1179,1429,1793,2232,2860,3449,3977,4271,4201,4156,3636,3475,3483,3457,3452,3544,3461,3442,3468,3401,3374,3426,3545,2584,961
    Schweden,393,517,774,1054,1000,1016,1002,882,881,816,817,820,753,682,700,600,593,656,665,704,736,801,880,926,867,793,771,706,544,162
    Slowakei,m,m,m,285,374,446,643,773,992,1269,1481,1592,1661,1649,1569,1365,1238,1206,1146,1109,1155,1172,1239,1200,1088,1037,949,899,684,215
    Slowenien,m,m,79,287,387,422,457,482,510,547,561,564,569,540,524,556,491,478,471,490,485,577,615,647,639,653,637,626,477,149
    Spanien,819,2520,3112,3907,4578,4891,5185,5344,5588,5665,5773,5739,5434,5152,4799,4538,4715,4993,5491,6165,6841,7058,6959,7208,7516,7469,7647,7573,5658,1915
    Tschechien,624,580,965,782,912,984,1158,1292,1640,1984,2243,2392,2356,2241,2132,1965,1817,1751,1667,1769,1781,1791,1859,1787,1676,1630,1610,1495,1173,322
    Ungarn,296,513,1113,1423,1846,1934,2285,2568,2779,2914,3129,3024,2804,2642,2434,2167,2160,2106,2020,2068,2147,2323,2366,2468,2436,2524,2522,2643,2055,588
    Vereinigtes Königreich,1423,2122,2750,3383,2867,2680,2543,2475,2281,2139,2082,2028,1869,1794,1788,1651,1781,1874,2087,2214,2500,2678,2755,2926,3082,3096,2965,2712,2171,541
    Zypern,318,474,371,292,204,194,167,169,180,186,197,212,204,215,221,208,217,231,245,271,320,427,540,639,746,826,827,804,764,40
  Nicht-EU-Staaten 3),21437,29840,39227,49830,50562,55386,60889,66932,73954,83430,92272,100757,75899,76742,76067,57448,59687,62511,65501,69535,73285,72748,75877,78812,81581,82311,82738,82237,51500,30737
    Bosnien-Herzegowina,m,m,m,300,922,1157,1402,1641,1889,2015,2206,2388,2455,2546,2603,2573,2681,2803,2859,3035,3123,3164,3265,3278,3351,3331,3243,3180,1777,1403
    Island,115,248,282,280,284,264,220,204,160,158,149,162,133,108,108,87,91,98,116,119,116,136,137,128,127,126,137,133,96,37
    Montenegro,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,227,170,159,190,215,252,313,339,386,422,424,433,440,261,179
    Nordmazedonien,m,m,m,36,227,298,393,474,523,617,660,704,1361,754,835,775,719,720,742,757,816,914,992,1071,1166,1174,1230,1214,771,443
    Norwegen,640,846,972,1065,1008,1011,943,924,906,851,821,773,753,659,589,485,492,431,411,415,428,437,452,495,497,512,551,540,425,115
    Russische Föderation,52,395,1236,2553,3622,4182,4930,5946,6987,8383,9601,10814,11479,11953,12197,11847,12378,12652,13132,13630,14199,14525,14964,14909,14939,14322,13968,14073,10384,3689
    Schweiz,1088,1360,1472,1625,1724,1749,1724,1774,1763,1762,1766,1896,1896,1941,1994,1990,2170,2302,2487,2745,2882,3028,3125,3345,3463,3601,3717,3763,2393,1370
    Türkei,6542,12962,15859,19317,21856,23031,23689,23762,23640,24041,24114,24448,22553,22419,22090,21404,22335,24170,26089,28501,30645,33004,34736,36530,38309,39338,39634,38902,21910,16992
    Ukraine,m,m,71,442,1145,1556,2123,2836,3688,4917,6071,7238,8066,8671,8839,8408,8557,8818,8830,8929,9044,9212,9379,9613,9638,9388,9171,8933,6328,2605
    Sonstige Staaten in Europa,1149,3424,4534,4665,4340,4571,4726,4813,5060,5336,5622,6053,5528,6282,6300,5677,6090,6249,6543,6992,7435,8015,8488,9057,9669,10095,10654,11059,7155,3904
Afrika,3884,6441,10245,12676,14462,15433,16500,17696,18852,20171,22024,23056,22616,22883,22689,21580,21736,21684,21542,21469,22143,23290,25141,27312,29999,32496,35463,38955,20784,18171
    Ägypten,795,942,1192,1268,1235,1194,1166,1126,1191,1278,1264,1192,1035,907,920,1087,1203,1359,1423,1473,1778,2057,2384,2788,3328,3923,4822,5639,4368,1271
    Äthiopien,164,470,883,836,753,750,707,639,588,531,534,523,495,427,418,401,430,442,470,490,526,516,488,498,511,561,558,565,419,146
    Algerien,601,271,322,353,379,391,380,359,346,325,328,288,246,229,222,193,188,186,196,219,230,246,265,295,292,319,351,411,275,136
    Ghana,258,330,496,492,434,403,376,353,374,532,735,698,570,441,375,322,333,370,426,511,582,653,756,875,987,1247,1456,1567,1089,478
    Kamerun,114,598,1131,1480,1900,2291,2966,3628,4141,4464,4896,5332,5393,5521,5503,5458,5536,5550,5575,5783,6016,6408,6893,7336,7676,7535,7406,7844,2881,4963
    Marokko,151,925,2232,3572,4606,4946,5255,5699,6204,6765,7421,8097,8019,8213,7931,6918,6649,6281,5866,5461,5169,5165,5314,5447,5674,5894,6133,6393,2037,4356
    Nigeria,424,245,339,424,518,584,634,664,667,662,632,630,562,541,513,548,555,577,607,645,758,942,1188,1454,1667,1970,2747,3766,2480,1286
    Tunesien,212,695,806,873,877,941,973,1074,1237,1426,1619,1806,2023,2369,2593,2681,2860,2859,2729,2552,2576,2732,3101,3677,4648,5595,6185,6599,3427,3172
    Sonstige Staaten in Afrika,1165,1965,2844,3378,3760,3933,4043,4154,4104,4188,4595,4490,4273,4235,4214,3972,3982,4060,4250,4335,4508,4571,4752,4942,5216,5452,5805,6171,3808,2363
Amerika,6572,8455,9290,9417,9026,9094,8972,9124,9356,9763,10428,11172,11467,11917,12397,12372,13366,14625,15270,16553,17886,19538,21712,23342,23627,25004,25984,26548,20304,6244
    Argentinien,212,321,371,365,368,368,389,389,419,466,505,519,485,477,456,438,413,434,433,409,416,470,483,551,590,663,720,699,489,210
    Bolivien,160,240,234,220,200,203,195,186,190,196,200,219,221,224,223,198,206,200,225,245,285,301,289,309,304,321,358,382,262,120
    Brasilien,490,896,1085,1193,1206,1225,1278,1325,1432,1509,1550,1698,1682,1867,2018,2118,2246,2467,2561,2727,3310,3884,4708,4811,3501,3954,4203,4382,3334,1048
    Chile,516,515,546,517,455,441,449,472,459,483,575,611,606,626,607,611,665,703,760,814,875,888,933,941,1043,1072,1097,1152,958,194
    Kanada,330,392,440,456,428,443,438,419,430,471,500,535,548,577,584,554,615,615,656,757,805,904,1039,1100,1196,1220,1229,1195,984,211
    Kolumbien,246,407,431,421,417,432,443,497,544,679,828,988,1090,1178,1261,1356,1479,1608,1715,1871,2065,2346,2599,2898,3100,3280,3498,3709,2803,906
    Mexiko,189,259,280,277,276,319,347,417,502,588,730,977,1174,1268,1394,1380,1584,1607,1749,2059,2245,2425,2714,2886,3050,3147,3287,3284,2312,972
    Peru,275,518,561,669,692,719,714,756,797,827,862,902,899,956,974,953,1019,1000,1044,1055,1068,1112,1105,1174,1230,1309,1378,1436,1023,413
    Venezuela,215,118,157,180,207,203,202,239,274,309,310,325,345,377,351,350,387,411,425,439,463,505,555,595,642,686,711,661,478,183
