Tab.2.5.34,,,,,,,
,,,,,,,
Ausländische Studierende in Deutschland nach Fächergruppen und Herkunftsstaaten 1),,,,,,,
,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Staatsangehörigkeit,Wintersemester,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
Europa,1998/1999,34452,34049,11801,17368,5382,1316
,1999/2000,35727,36821,13138,17636,5575,1365
,2000/2001,38018,38841,15418,18031,5579,1485
,2001/2002,41058,42242,18099,18639,5808,1595
,2002/2003,43659,45168,20115,19797,5816,1734
,2003/2004,46355,47959,21918,20904,5930,1849
,2004/2005,44973,47062,21890,20840,6189,1889
,2005/2006,44150,47458,21983,21068,6227,1915
,2006/2007,43096,47019,21743,20456,6103,1875
,2007/2008,39824,44109,20335,19788,5789,1758
,2008/2009,38461,46995,20371,20460,5796,1811
,2009/2010,38669,46751,21010,22847,5984,1833
,2010/2011,39624,46335,21863,25688,6240,1803
,2011/2012,41090,47689,23380,27917,6675,1872
,2012/2013,42733,49451,25250,30085,7257,1969
,2013/2014,43903,51379,27049,32310,7896,2123
,2014/2015,44838,53229,28671,33951,9222,2333
,2015/2016,38198,61983,16763,48901,10029,2416
,2016/2017,38389,62962,17669,50818,10436,2460
,2017/2018,37840,63867,17828,51044,10575,2481
,2018/2019,37215,63853,18122,51614,11073,2455
,2019/2020,36779,63766,18237,50653,11250,2608
  EU-Staaten 3),1998/1999,17254,12816,4711,6265,1817,616
,1999/2000,16855,12793,4891,6321,1865,605
,2000/2001,16749,12516,5245,6380,1877,651
,2001/2002,16728,12813,5638,6274,1917,641
,2002/2003,16428,12731,5884,6472,1866,636
,2003/2004,16160,12979,6002,6473,1868,676
,2004/2005,24780,21050,8445,8857,2783,1029
,2005/2006,23783,20964,8485,8939,2828,1060
,2006/2007,23108,20327,8153,8711,2878,1048
,2007/2008,25011,23747,10464,10181,3606,1146
,2008/2009,23875,24979,10183,10287,3727,1156
,2009/2010,23868,24596,10251,10852,3864,1152
,2010/2011,24384,24041,10503,11926,4074,1124
,2011/2012,25090,24579,11095,12716,4437,1171
,2012/2013,26219,25542,11980,13518,4911,1290
,2013/2014,27888,27955,13816,15215,5600,1438
,2014/2015,28522,29052,14705,15711,6793,1584
,2015/2016,24703,34121,9798,21879,7354,1623
,2016/2017,24405,34647,10291,22520,7670,1620
,2017/2018,24076,35160,10385,22384,7662,1657
,2018/2019,23691,34932,10572,22788,8010,1601
,2019/2020,23325,35001,10569,22381,8052,1728
    Belgien,1998/1999,386,307,93,114,23,16
,1999/2000,377,293,100,112,31,14
,2000/2001,352,288,99,132,39,13
,2001/2002,376,287,118,121,36,11
,2002/2003,365,302,133,126,33,12
,2003/2004,351,273,152,124,44,14
,2004/2005,347,261,142,118,44,22
,2005/2006,328,269,137,122,43,18
,2006/2007,367,265,134,128,44,19
,2007/2008,359,235,125,130,47,24
,2008/2009,366,248,139,137,54,25
,2009/2010,384,253,139,143,62,19
,2010/2011,422,275,157,172,61,22
