Tab.2.5.48,,,,,,,,
,,,,,,,,
Ausländische Hochschulabsolventinnen und -absolventen in Deutschland nach Fächergruppen und ausgewählten Herkunftsstaaten 1),,,,,,,,
,,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Ingenieurwissenschaften,"Kunst, Kunstwissenschaften"
Staatsangehörigkeit,Jahr 3),Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
Europa,1997,1091,1773,746,421,93,1363,477
,1998,1100,2088,776,417,106,1403,550
,1999,1235,2139,845,517,138,1477,616
,2000,1375,2513,915,618,160,1576,629
,2001,1456,2719,1063,672,161,1730,712
,2002,1620,3137,1159,718,158,1812,700
,2003,1744,3516,1340,691,189,1930,869
,2004,1939,4083,1678,713,218,1946,930
,2005,2407,4865,2168,845,229,2214,1024
,2006,2644,5091,2436,781,249,2365,1121
,2007,2938,6053,2644,935,259,2674,1098
,2008,3484,6174,2874,978,277,2676,1188
,2009,3528,6861,2899,943,280,2710,1224
,2010,3736,6971,3066,870,262,3018,1147
,2011,3754,7282,3101,897,377,3442,1295
,2012,3972,7600,3297,951,321,3710,1444
,2013,3984,7677,3328,868,323,4148,1450
,2014,4254,7654,3578,1035,371,4366,1432
,2015,4182,8164,3823,998,405,4578,1618
,2016,3147,9482,2615,1141,402,6384,1577
,2017,3340,9727,2768,1192,441,6601,1737
,2018,3399,9691,2771,1344,452,6649,1780
,2019,3552,9967,2992,1464,428,7285,1795
  EU-Staaten 4),1997,691,1042,431,214,57,704,232
,1998,674,1092,437,211,59,710,268
,1999,685,1073,441,240,68,696,275
,2000,762,1137,432,243,90,729,261
,2001,743,1118,491,264,93,761,285
,2002,759,1232,522,262,77,761,268
,2003,753,1266,544,239,90,773,317
,2004,796,1403,602,261,98,763,322
,2005,1494,2479,1008,396,135,1024,552
,2006,1588,2551,1090,350,159,1095,587
,2007,1930,3663,1595,528,179,1447,726
,2008,2205,3705,1680,579,195,1538,743
,2009,2191,4026,1664,574,194,1459,759
,2010,2237,4020,1718,580,158,1666,714
,2011,2214,4034,1679,583,234,1801,846
,2012,2245,4143,1792,635,202,1918,892
,2013,2256,4190,1729,580,202,2193,934
,2014,2535,4370,2047,736,257,2346,951
,2015,2483,4662,2166,704,276,2503,1125
,2016,1912,5430,1689,785,285,3377,1089
,2017,2008,5632,1765,872,289,3409,1175
,2018,2161,5598,1781,941,327,3434,1225
,2019,2198,5837,1942,1059,294,3686,1206
    Belgien,1997,17,20,13,11,-,18,4
