,german_cities
1,Aach (Baden-Württemberg)
2,Aachen (North Rhine-Westphalia)
3,Aalen (Baden-Württemberg)
4,Abenberg (Bavaria)
5,Abensberg (Bavaria)
6,Achern (Baden-Württemberg)
7,Achim (Lower Saxony)
8,Adelsheim (Baden-Württemberg)
9,Adenau (Rhineland-Palatinate)
10,Adorf (Saxony)
11,Ahaus (North Rhine-Westphalia)
12,Ahlen (North Rhine-Westphalia)
13,Ahrensburg (Schleswig-Holstein)
14,Aichach (Bavaria)
15,Aichtal (Baden-Württemberg)
16,Aken (Elbe) (Saxony-Anhalt)
17,Albstadt (Baden-Württemberg)
18,Alfeld (Lower Saxony)
19,Allendorf (Lumda) (Hesse)
20,Allstedt (Saxony-Anhalt)
21,Alpirsbach (Baden-Württemberg)
22,Alsdorf (North Rhine-Westphalia)
23,Alsfeld (Hesse)
24,Alsleben (Saale) (Saxony-Anhalt)
25,Altdorf bei Nürnberg (Bavaria)
26,Altena (North Rhine-Westphalia)
27,Altenberg (Saxony)
28,Altenburg (Thuringia)
29,Altenkirchen (Rhineland-Palatinate)
30,Altensteig (Baden-Württemberg)
31,Altentreptow (Mecklenburg-Western Pomerania)
32,Altlandsberg (Brandenburg)
33,Altötting (Bavaria)
34,Alzenau (Bavaria)
35,Alzey (Rhineland-Palatinate)
36,Amberg (Bavaria)
37,Amöneburg (Hesse)
38,Amorbach (Bavaria)
39,Amt Creuzburg (Thuringia)
40,An der Schmücke (Thuringia)
41,Andernach (Rhineland-Palatinate)
42,Angermünde (Brandenburg)
43,Anklam (Mecklenburg-Western Pomerania)
44,Annaberg-Buchholz (Saxony)
45,Annaburg (Saxony-Anhalt)
46,Annweiler am Trifels (Rhineland-Palatinate)
47,Ansbach (Bavaria)
48,Apolda (Thuringia)
49,Arendsee (Saxony-Anhalt)
50,Arneburg (Saxony-Anhalt)
51,Arnis (Schleswig-Holstein)
52,Arnsberg (North Rhine-Westphalia)
53,Arnstadt (Thuringia)
54,Arnstein (Bavaria)
55,Arnstein (Saxony-Anhalt)
56,Artern (Thuringia)
57,Arzberg (Bavaria)
58,Aschaffenburg (Bavaria)
59,Aschersleben (Saxony-Anhalt)
60,Asperg (Baden-Württemberg)
61,Aßlar (Hesse)
62,Attendorn (North Rhine-Westphalia)
63,Aub (Bavaria)
64,Aue-Bad Schlema (Saxony)
65,Auerbach in der Oberpfalz (Bavaria)
66,Auerbach (Vogtland) (Saxony)
67,Augsburg (Bavaria)
68,Augustusburg (Saxony)
69,Aulendorf (Baden-Württemberg)
70,Auma-Weidatal (Thuringia)
71,Aurich (Lower Saxony)
72,Babenhausen (Hesse)
73,Bacharach (Rhineland-Palatinate)
74,Backnang (Baden-Württemberg)
75,Bad Aibling (Bavaria)
76,Bad Arolsen (Hesse)
77,Bad Belzig (Brandenburg)
78,Bad Bentheim (Lower Saxony)
79,Bad Bergzabern (Rhineland-Palatinate)
80,Bad Berka (Thuringia)
81,Bad Berleburg (North Rhine-Westphalia)
82,Bad Berneck im Fichtelgebirge (Bavaria)
83,Bad Bevensen (Lower Saxony)
84,Bad Bibra (Saxony-Anhalt)
85,Bad Blankenburg (Thuringia)
86,Bad Bramstedt (Schleswig-Holstein)
87,Bad Breisig (Rhineland-Palatinate)
88,Bad Brückenau (Bavaria)
89,Bad Buchau (Baden-Württemberg)
90,Bad Camberg (Hesse)
91,Bad Doberan (Mecklenburg-Western Pomerania)
92,Bad Driburg (North Rhine-Westphalia)
93,Bad Düben (Saxony)
94,Bad Dürkheim (Rhineland-Palatinate)
95,Bad Dürrenberg (Saxony-Anhalt)
96,Bad Dürrheim (Baden-Württemberg)
97,Bad Elster (Saxony)
98,Bad Ems (Rhineland-Palatinate)
99,Bad Fallingbostel (Lower Saxony)
100,Bad Frankenhausen/Kyffhäuser (Thuringia)
101,Bad Freienwalde (Oder) (Brandenburg)
102,Bad Friedrichshall (Baden-Württemberg)
103,Bad Gandersheim (Lower Saxony)
104,Bad Gottleuba-Berggießhübel (Saxony)
105,Bad Griesbach im Rottal (Bavaria)
106,Bad Harzburg (Lower Saxony)
107,Bad Herrenalb (Baden-Württemberg)
108,Bad Hersfeld (Hesse)
109,Bad Homburg vor der Höhe (Hesse)
110,Bad Honnef (North Rhine-Westphalia)
111,Bad Hönningen (Rhineland-Palatinate)
112,Bad Iburg (Lower Saxony)
113,Bad Karlshafen (Hesse)
114,Bad Kissingen (Bavaria)
115,Bad König (Hesse)
116,Bad Königshofen im Grabfeld (Bavaria)
117,Bad Köstritz (Thuringia)
118,Bad Kötzting (Bavaria)
119,Bad Kreuznach (Rhineland-Palatinate)
120,Bad Krozingen (Baden-Württemberg)
121,Bad Laasphe (North Rhine-Westphalia)
122,Bad Langensalza (Thuringia)
123,Bad Lauchstädt (Saxony-Anhalt)
124,Bad Lausick (Saxony)
125,Bad Lauterberg im Harz (Lower Saxony)
126,Bad Liebenstein (Thuringia)
127,Bad Liebenwerda (Brandenburg)
128,Bad Liebenzell (Baden-Württemberg)
129,Bad Lippspringe (North Rhine-Westphalia)
130,Bad Lobenstein (Thuringia)
131,Bad Marienberg (Rhineland-Palatinate)
132,Bad Mergentheim (Baden-Württemberg)
133,Bad Münder am Deister (Lower Saxony)
134,Bad Münstereifel (North Rhine-Westphalia)
135,Bad Muskau (Saxony)
136,Bad Nauheim (Hesse)
137,Bad Nenndorf (Lower Saxony)
138,Bad Neuenahr-Ahrweiler (Rhineland-Palatinate)
139,Bad Neustadt an der Saale (Bavaria)
140,Bad Oeynhausen (North Rhine-Westphalia)
141,Bad Oldesloe (Schleswig-Holstein)
142,Bad Orb (Hesse)
143,Bad Pyrmont (Lower Saxony)
144,Bad Rappenau (Baden-Württemberg)
145,Bad Reichenhall (Bavaria)
146,Bad Rodach (Bavaria)
147,Bad Sachsa (Lower Saxony)
148,Bad Säckingen (Baden-Württemberg)
149,Bad Salzdetfurth (Lower Saxony)
150,Bad Salzuflen (North Rhine-Westphalia)
151,Bad Salzungen (Thuringia)
152,Bad Saulgau (Baden-Württemberg)
153,Bad Schandau (Saxony)
154,Bad Schmiedeberg (Saxony-Anhalt)
155,Bad Schussenried (Baden-Württemberg)
156,Bad Schwalbach (Hesse)
157,Bad Schwartau (Schleswig-Holstein)
158,Bad Segeberg (Schleswig-Holstein)
159,Bad Sobernheim (Rhineland-Palatinate)
160,Bad Soden am Taunus (Hesse)
161,Bad Soden-Salmünster (Hesse)
162,Bad Sooden-Allendorf (Hesse)
163,Bad Staffelstein (Bavaria)
164,Bad Sulza (Thuringia)
165,Bad Sülze (Mecklenburg-Western Pomerania)
166,Bad Teinach-Zavelstein (Baden-Württemberg)
167,Bad Tennstedt (Thuringia)
168,Bad Tölz (Bavaria)
169,Bad Urach (Baden-Württemberg)
170,Bad Vilbel (Hesse)
171,Bad Waldsee (Baden-Württemberg)
172,Bad Wildbad (Baden-Württemberg)
173,Bad Wildungen (Hesse)
174,Bad Wilsnack (Brandenburg)
175,Bad Wimpfen (Baden-Württemberg)
176,Bad Windsheim (Bavaria)
177,Bad Wörishofen (Bavaria)
178,Bad Wünnenberg (North Rhine-Westphalia)
179,Bad Wurzach (Baden-Württemberg)
180,Baden-Baden (Baden-Württemberg)
181,Baesweiler (North Rhine-Westphalia)
182,Baiersdorf (Bavaria)
183,Balingen (Baden-Württemberg)
184,Ballenstedt (Saxony-Anhalt)
185,Balve (North Rhine-Westphalia)
186,Bamberg (Bavaria)
187,Barby (Elbe) (Saxony-Anhalt)
188,Bargteheide (Schleswig-Holstein)
189,Barmstedt (Schleswig-Holstein)
190,Bärnau (Bavaria)
191,Barntrup (North Rhine-Westphalia)
192,Barsinghausen (Lower Saxony)
