,course_type,course_name,course_link,uni_name,uni_city,scholarship_avail,course_cost,lang_of_instr,lang_level,semester_beginning,online_course
1,Short course and language course,23rd International Summer Academy Sans Souci 2021 | ISAS,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4993/,University of Potsdam ,Potsdam,available,EUR 690,German,"German: B2, C1, C2","August 02 - August 27, 2021 (Registration Deadline June 15, 2021)",0
2,Language course,23rd International Winter Language School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6974/,Osnabrück University of Applied Sciences ,Osnabrück,,EUR 650,German,"German: A1, A2, B1, B2, C1, C2","February 25 - March 17, 2021 (Registration Deadline January 15, 2021)",0
3,Language course,25th International Summer Academy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4920/,Martin Luther University Halle-Wittenberg ,Lutherstadt Wittenberg,available,EUR 680,German,"German: A1, A2, B1, B2, C1, C2","June 06 - July 01, 2021 (Registration Deadline May 07, 2021), July 04 - July 29, 2021 (Registration Deadline June 04, 2021), August 08 - September 02, 2021 (Registration Deadline July 09, 2021), September 05 - September 30, 2021 (Registration Deadline August 06, 2021)",0
4,Language course,29th International Summer Language School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6975/,Osnabrück University of Applied Sciences ,Osnabrück,available,EUR 750,German,"German: A1, A2, B1, B2, C1, C2","August 23 - September 20, 2021 (Registration Deadline June 30, 2021)",0
5,Language course,3rd International Winter Academy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6324/,Martin Luther University Halle-Wittenberg ,Lutherstadt Wittenberg,,EUR 680,German,"German: A1, A2, B1, B2, C1","February 28 - March 25, 2021 (Registration Deadline January 29, 2021)",0
6,Language course,43rd International Summer Course – DSH Course (German Language Examination for Higher Education),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7094/,Technische Universität Ilmenau ,Ilmenau,available,EUR 550,German,"German: B2, C1","August 31 - September 24, 2021 (Registration Deadline July 01, 2021)",0
7,Language course,43rd International Summer Course – Experiencing Germany,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4907/,Technische Universität Ilmenau ,Ilmenau,available,EUR 649,German,"German: A1, A2, B1, B2, C1, C2","August 02 - August 25, 2021 (Registration Deadline July 01, 2021)",0
8,Language course,43rd International Summer Course – German for Technical Purposes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4935/,Technische Universität Ilmenau ,Ilmenau,available,EUR 699,German,"German: B2, C1, C2","August 02 - August 25, 2021 (Registration Deadline July 01, 2021)",0
9,Language course,43rd International Summer Course – Living and Studying in Germany,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5029/,Technische Universität Ilmenau ,Ilmenau,available,EUR 649,German,"German: A2, B1, B2","August 31 - September 24, 2021 (Registration Deadline July 01, 2021)",0
10,Language course,48th International Summer School Trier: Germany and its Neighbouring Countries,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6996/,Trier University ,Trier,available,EUR 600,German,"German: A1, A2, B1, B2, C1","August 02 - August 27, 2021 (Registration Deadline July 15, 2021)",0
11,Language course,74th International Summer Course: Germany Today,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4889/,Kiel University ,Kiel,available,EUR 1050,German,"German: B1, B2, C1, C2","July 12 - August 06, 2021 (Registration Deadline May 15, 2021)",0
12,Language course,Academic German Year,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7092/,University of Passau ,Passau,,EUR 3490,German,"German: A1, A2, B1, B2, C1","October, 2021 - September, 2022 (Registration Deadline June 30, 2021)",0
13,Language course,"Academic Life in Leipzig – Autumn Language Course for International Researchers, Doctoral Candidates, and Students",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4960/,Leipzig University ,Leipzig,available,EUR 950,German,"German: A1, A2, B1, B2, C1","August 31 - September 25, 2021 (Registration Deadline July 30, 2021)",0
