,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type,german_cities_dup,german_cities_y,german_states
0,1,Bachelor's degree,Advertising & Brand Communication (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6217/,SRH Berlin University of Applied Sciences ,Berlin,"3.900,00",English,7 semesters,"Winter semester, Summer semester",,,,Berlin,Berlin,Berlin
1,2,Bachelor's degree,"African Verbal and Visual Arts: Languages, Literatures, Media and Art (BA)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5443/,University of Bayreuth ,Bayreuth,none,English,6 semesters,Winter semester,,,,Bayreuth,Bayreuth,Bavaria
2,3,Bachelor's degree,"Agribusiness, BA",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4229/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,7 semesters,Winter semester,,,,Kleve,Kleve,North Rhine-Westphalia
3,4,Bachelor's degree,Applied Biology (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3779/,Hochschule Bonn-Rhein-Sieg ,Rheinbach,none,English,6 semesters,Winter semester,,,,Rheinbach,Rheinbach,North Rhine-Westphalia
4,5,Bachelor's degree,Applied Cultural and Translation Studies (German-Polish),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7016/,University of Potsdam ,Potsdam,none,"German, Other teaching language",6 semesters,Winter semester,,,,Potsdam,Potsdam,Brandenburg
5,6,Bachelor's degree,Applied Mathematics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4725/,Mittweida University of Applied Sciences ,Mittweida,none,English,6 semesters,Winter semester,,,,Mittweida,Mittweida,Saxony
6,7,Bachelor's degree,Audio Design (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6219/,SRH Berlin University of Applied Sciences ,Berlin,"4.500,00",English,7 semesters,Summer semester,,,,Berlin,Berlin,Berlin
7,8,Bachelor's degree,Autonomous Vehicle Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6920/,Technische Hochschule Ingolstadt ,Ingolstadt,none,English,7 semesters,Winter semester,,,,Ingolstadt,Ingolstadt,Bavaria
8,9,Bachelor's degree,Aviation Management Bachelor of Arts,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4335/,Worms University of Applied Sciences ,Worms,none,English,7 semesters,Summer semester,,,,Worms,Worms,Rhineland-Palatinate
9,10,Bachelor's degree,BA Architecture,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5660/,Berlin International University of Applied Sciences ,Berlin,"3.960,00",English,8 semesters,Winter semester,,,,Berlin,Berlin,Berlin
