,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type,german_cities_dup,german_cities_y,german_states
0,1,Master's degree,Accounting & Finance (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4479/,University of Tübingen ,Tübingen,varied,"German, English",3 semesters,Winter semester,,,,Tübingen,Tübingen,Baden-Württemberg
1,2,Master's degree,Accounting and Controlling,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5514/,Hochschule für Wirtschaft und Recht Berlin ,Berlin,none,English,3 semesters,Winter semester,,,,Berlin,Berlin,Berlin
2,3,Master's degree,Actuarial and Financial Mathematics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4722/,Technische Universität Kaiserslautern ,Kaiserslautern,none,English,4 semesters,"Winter semester, Summer semester",,,,Kaiserslautern,Kaiserslautern,Rhineland-Palatinate
3,4,Master's degree,Advanced and Computational Mathematics – International Master's and PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4770/,Chemnitz University of Technology ,Chemnitz,none,English,4 semesters,"Winter semester, Summer semester",,,,Chemnitz,Chemnitz,Saxony
4,5,Master's degree,Advanced Anglophone Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4869/,Leibniz Universität Hannover ,Hannover,none,English,4 semesters,"Winter semester, Summer semester",,,,Hanover,Hanover,Lower Saxony
5,6,Master's degree,Advanced Architecture — From Urban Design to Building Construction,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7065/,Frankfurt University of Applied Sciences ,Frankfurt am Main,none,English,4 semesters,Summer semester,,,,Frankfurt am Main,Frankfurt am Main,Hesse
6,7,Master's degree,Advanced Computational Methods in Civil Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/,RWTH Aachen University ,Aachen,none,English,4 semesters,"Winter semester, Summer semester",,,,Aachen,Aachen,North Rhine-Westphalia
7,8,Master's degree,Advanced Functional Materials,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4695/,Chemnitz University of Technology ,Chemnitz,none,English,4 semesters,"Winter semester, Summer semester",,,,Chemnitz,Chemnitz,Saxony
8,9,Master's degree,Advanced Materials Analysis,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5403/,TU Bergakademie Freiberg ,Freiberg,none,English,4 semesters,Winter semester,,,,Freiberg,Freiberg,Saxony
9,10,Master's degree,Advanced Signal Processing and Communications Engineering MSc,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/,FAU Erlangen-Nürnberg ,Erlangen,none,English,4 semesters,Winter semester,,,,Erlangen,Erlangen,Bavaria
10,11,Master's degree,Advanced Spectroscopy in Chemistry (ASC),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7056/,Leipzig University ,Leipzig,varied,English,4 semesters,Winter semester,,,,Leipzig,Leipzig,Saxony
11,12,Master's degree,Aerospace (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6141/,Technische Universität München ,München,none,"German, English",4 semesters,"Winter semester, Summer semester",,,,Munich,Munich,Bavaria
12,13,Master's degree,Agricultural Biosciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6527/,Technische Universität München ,Freising,none,English,4 semesters,Winter semester,,,,Freising,Freising,Bavaria
13,14,Master's degree,Agricultural Economics (AgEcon),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3723/,University of Hohenheim ,Stuttgart,varied,English,4 semesters,Winter semester,,,,Stuttgart,Stuttgart,Baden-Württemberg
14,15,Master's degree,Agricultural Sciences in the Tropics and Subtropics (AgriTropics),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3788/,University of Hohenheim ,Stuttgart,varied,English,4 semesters,Winter semester,,,,Stuttgart,Stuttgart,Baden-Württemberg
15,16,Master's degree,"Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3676/,University of Stuttgart ,Stuttgart,varied,English,4 semesters,Winter semester,,,,Stuttgart,Stuttgart,Baden-Württemberg
16,17,Master's degree,AMASE: Joint European Master's Programme in Advanced Materials Science and Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6080/,Saarland University ,Saarbrücken,varied,"German, English, French, Spanish",4 semesters,Winter semester,,,,Saarbrücken,Saarbrücken,Saarland
17,18,Master's degree,AMIS Master - International Master in Advanced Materials for Innovation & Sustainability,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6266/,TU Darmstadt ,Darmstadt,varied,English,4 semesters,Winter semester,,,,Darmstadt,Darmstadt,Hesse
18,19,Master's degree,Analysis and Design of Social Protection Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5179/,Hochschule Bonn-Rhein-Sieg ,Sankt Augustin,,,,,Online,Social Science,MOOCs | Blended learning | Open Educational Resources,Sankt Augustin,Sankt Augustin,North Rhine-Westphalia
19,20,Master's degree,Analysis and Design of Social Protection Systems (MA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4469/,Hochschule Bonn-Rhein-Sieg ,Sankt Augustin,none,English,4 semesters,Winter semester,,,,Sankt Augustin,Sankt Augustin,North Rhine-Westphalia
20,21,Master's degree,"Analytical Instruments, Measurement and Sensor Technology (AIMS)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3949/,Coburg University ,Coburg,"3.500,00",English,4 semesters,Winter semester,,,,Coburg,Coburg,Bavaria
21,22,Master's degree,Anglophone Modernities in Literature and Culture,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4325/,University of Potsdam ,Potsdam,none,English,4 semesters,"Winter semester, Summer semester",,,,Potsdam,Potsdam,Brandenburg
22,23,Master's degree,Anthropology and Sociology (Master of Arts),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4778/,University of Konstanz ,Konstanz,varied,"German, English",4 semesters,"Winter semester, Summer semester",,,,Konstanz,Konstanz,Baden-Württemberg
23,24,Master's degree,Applied & Environmental Geoscience (AEG),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3791/,University of Tübingen ,Tübingen,"1.500,00",English,4 semesters,Winter semester,,,,Tübingen,Tübingen,Baden-Württemberg
24,25,Master's degree,Applied Computer Science (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3981/,SRH University Heidelberg ,Heidelberg,"4.500,00",English,4 semesters,"Winter semester, Summer semester",,,,Heidelberg,Heidelberg,Baden-Württemberg
25,26,Master's degree,Applied Computer Science (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4700/,University of Göttingen ,Göttingen,none,English,4 semesters,"Winter semester, Summer semester",,,,Göttingen,Göttingen,Lower Saxony
26,27,Master's degree,Applied Computer Science (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4870/,Deggendorf Institute of Technology ,Deggendorf,none,English,3 semesters,"Winter semester, Summer semester",,,,Deggendorf,Deggendorf,Bavaria
27,28,Master's degree,Applied Earth Observation and Geoanalysis MSc (EAGLE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7043/,Julius-Maximilians-Universität Würzburg ,Würzburg,none,English,4 semesters,Winter semester,,,,Würzburg,Würzburg,Bavaria
28,29,Master's degree,Applied Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3956/,University of Wuppertal ,Wuppertal,none,English,4 semesters,"Winter semester, Summer semester",,,,Wuppertal,Wuppertal,North Rhine-Westphalia
29,30,Master's degree,Applied Geosciences – Applied Mineralogy and Crystallography (AMC),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6917/,RWTH Aachen University ,Aachen,none,English,4 semesters,"Winter semester, Summer semester",,,,Aachen,Aachen,North Rhine-Westphalia
30,31,Master's degree,Applied Life Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6194/,Hochschule Emden/Leer - University of Applied Sciences ,Emden,none,English,3 semesters,"Winter semester, Summer semester",,,,Emden,Emden,Lower Saxony
31,32,Master's degree,Applied Mathematics for Network and Data Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4417/,Mittweida University of Applied Sciences ,Mittweida,none,English,4 semesters,Winter semester,,,,Mittweida,Mittweida,Saxony
32,33,Master's degree,Applied Natural Sciences (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4688/,University of Koblenz-Landau ,Koblenz,none,English,3 semesters,"Winter semester, Summer semester",,,,Koblenz,Koblenz,Rhineland-Palatinate
33,34,Master's degree,Applied Research in Computer Science (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6236/,Hof University of Applied Sciences ,Hof,none,English,3 semesters,"Winter semester, Summer semester",,,,Hof,Hof,Bavaria
34,35,Master's degree,Archaeological Sciences (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4611/,University of Tübingen ,Tübingen,varied,English,4 semesters,"Winter semester, Summer semester",,,,Tübingen,Tübingen,Baden-Württemberg
35,36,Master's degree,Architectural and Cultural Heritage,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4346/,Anhalt University of Applied Sciences ,Dessau-Roßlau,"750,00",English,4 semesters,"Winter semester, Summer semester",,,,Dessau-Roßlau,Dessau-Roßlau,Saxony-Anhalt
36,37,Master's degree,Artificial Intelligence and Data Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6937/,Heinrich Heine University Düsseldorf ,Düsseldorf,none,English,4 semesters,Winter semester,,,,Düsseldorf,Düsseldorf,North Rhine-Westphalia
37,38,Master's degree,Arts and Cultural Management (MA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5242/,Leuphana University Lüneburg ,Lüneburg,"2.225,00",English,4 semesters,Winter semester,,,,Lüneburg,Lüneburg,Lower Saxony
38,39,Master's degree,Astro and Particle Physics (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4748/,University of Tübingen ,Tübingen,varied,English,4 semesters,"Winter semester, Summer semester",,,,Tübingen,Tübingen,Baden-Württemberg
39,40,Master's degree,Astrophysics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4693/,University of Potsdam ,Potsdam,none,English,4 semesters,"Winter semester, Summer semester",,,,Potsdam,Potsdam,Brandenburg
40,41,Master's degree,Automation & IT (Master of Engineering),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3961/,TH Köln (University of Applied Sciences) ,Gummersbach,none,English,4 semesters,Winter semester,,,,Gummersbach,Gummersbach,North Rhine-Westphalia
41,42,Master's degree,Automation and Control (AUT),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4818/,Technische Universität Kaiserslautern ,Kaiserslautern,none,English,3 semesters,"Winter semester, Summer semester",,,,Kaiserslautern,Kaiserslautern,Rhineland-Palatinate
42,43,Master's degree,Automation and Safety,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6154/,University of Duisburg-Essen ,Duisburg,none,"German, English",4 semesters,"Winter semester, Summer semester",,,,Duisburg,Duisburg,North Rhine-Westphalia
43,44,Master's degree,Automotive Software Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4122/,Chemnitz University of Technology ,Chemnitz,none,English,4 semesters,"Winter semester, Summer semester",,,,Chemnitz,Chemnitz,Saxony
44,45,Master's degree,Automotive Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5423/,Esslingen University of Applied Sciences ,Esslingen am Neckar,"1.500,00",English,3 semesters,Winter semester,,,,Esslingen am Neckar,Esslingen am Neckar,Baden-Württemberg
45,46,Master's degree,Autonomous Systems (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3799/,Hochschule Bonn-Rhein-Sieg ,Sankt Augustin,none,English,4 semesters,"Winter semester, Summer semester",,,,Sankt Augustin,Sankt Augustin,North Rhine-Westphalia
46,47,Master's degree,"Behaviour: From Neural Mechanisms to Evolution, MSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3958/,Bielefeld University ,Bielefeld,none,English,4 semesters,Winter semester,,,,Bielefeld,Bielefeld,North Rhine-Westphalia
47,48,Master's degree,Behavioural Neurobiology / Neuroethology; Master of Science Biology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4637/,Julius-Maximilians-Universität Würzburg ,Würzburg,none,English,4 semesters,"Winter semester, Summer semester",,,,Würzburg,Würzburg,Bavaria
48,49,Master's degree,Berlin MBA (full-time),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3625/,Hochschule für Wirtschaft und Recht Berlin ,Berlin,"9.900,00",English,2 semesters,Winter semester,,,,Berlin,Berlin,Berlin
49,50,Master's degree,Berlin MBA (part-time),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6995/,Hochschule für Wirtschaft und Recht Berlin ,Berlin,"4.950,00",English,4 semesters,Winter semester,,,,Berlin,Berlin,Berlin
50,51,Master's degree,Bi-National Master in Philosophy (Bielefeld-Bologna),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6389/,Bielefeld University ,Bielefeld,none,"German, English, Italian",4 semesters,"Winter semester, Summer semester",,,,Bielefeld,Bielefeld,North Rhine-Westphalia
51,52,Master's degree,Big Data and Business Analytics (MSc) – full-time,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4886/,SRH University Heidelberg ,Heidelberg,"4.740,00",English,4 semesters,"Winter semester, Summer semester",,,,Heidelberg,Heidelberg,Baden-Württemberg
52,53,Master's degree,Big Data and Business Analytics (MSc) – part-time,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4884/,SRH University Heidelberg ,Heidelberg,"4.320,00",English,4 semesters,"Winter semester, Summer semester",,,,Heidelberg,Heidelberg,Baden-Württemberg
53,54,Master's degree,Binational Double Master's in Biomedical Sciences (IMBS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4590/,University of Freiburg ,Freiburg im Breisgau,,English,4 semesters,Winter semester,,,,Freiburg im Breisgau,Freiburg im Breisgau,Baden-Württemberg
