,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type,german_cities_dup,german_cities_y,german_states
0,1,PhD / Doctorate,a.r.t.e.s. Graduate School for the Humanities Cologne,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4100/,University of Cologne ,Köln,inquire,"German, English",6 semesters,Summer semester,Structured research and supervision,Cologne,Cologne,North Rhine-Westphalia
1,2,PhD / Doctorate,Abbe School of Photonics – PhD/Doctoral Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4341/,Friedrich Schiller University Jena ,Jena,inquire,English,6 semesters,Any time,Structured research and supervision,Jena,Jena,Thuringia
2,3,PhD / Doctorate,Advanced Materials PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3610/,Osnabrück University ,Osnabrück,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Osnabrück,Osnabrück,Lower Saxony
3,4,PhD / Doctorate,Advanced Medical Physics for Image-Guided Cancer Therapy (GRK 2274),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5340/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Munich,Munich,Bavaria
4,5,PhD / Doctorate,Albrecht Mendelssohn Bartholdy Graduate School of Law,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4764/,Universität Hamburg ,Hamburg,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision,Hamburg,Hamburg,Hamburg
5,6,PhD / Doctorate,Applied Statistics and Empirical Methods,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6112/,University of Göttingen ,Göttingen,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
6,7,PhD / Doctorate,Atherosclerosis - Mechanisms and Networks of Novel Therapeutic Targets (CRC1123),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5631/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
7,8,Graduate school,Bamberg Graduate School of Social Sciences (BAGSS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7097/,University of Bamberg ,Bamberg,inquire,English,6 semesters,Any time,Structured research and supervision,Bamberg,Bamberg,Bavaria
8,9,PhD / Doctorate,"Bayreuth Graduate Centre for Cultural Studies, Social Sciences, and Humanities (BayKULT)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4596/,University of Bayreuth ,Bayreuth,inquire,English,6 semesters,Any time,Structured research and supervision,Bayreuth,Bayreuth,Bavaria
9,10,PhD / Doctorate,Bayreuth International Graduate School of African Studies (BIGSAS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4045/,University of Bayreuth ,Bayreuth,inquire,"English, French",6 semesters,Any time,Structured research and supervision,Bayreuth,Bayreuth,Bavaria
10,11,PhD / Doctorate,Behaviour and Cognition (BeCog),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4245/,University of Göttingen ,Göttingen,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Göttingen,Göttingen,Lower Saxony
11,12,PhD / Doctorate,Berlin Graduate School for Global and Transregional Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4109/,Freie Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision,Berlin,Berlin,Berlin
12,13,PhD / Doctorate,Berlin Graduate School Muslim Cultures and Societies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4012/,Freie Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision,Berlin,Berlin,Berlin
13,14,PhD / Doctorate,Berlin Mathematical School – PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4007/,Technische Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision,Berlin,Berlin,Berlin
14,15,PhD / Doctorate,Berlin School of Economics PhD Programme (BSE PhD Programme),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6973/,Humboldt-Universität zu Berlin ,Berlin,inquire,English,8 semesters,Winter semester,Structured research and supervision,Berlin,Berlin,Berlin
15,16,PhD / Doctorate,Berlin School of Mind and Brain (Graduate School),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4043/,Humboldt-Universität zu Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision,Berlin,Berlin,Berlin
16,17,PhD / Doctorate,Bielefeld Graduate School in History and Sociology (BGHS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3962/,Bielefeld University ,Bielefeld,inquire,"German, English",More than 9 semesters,"Winter semester, Summer semester",Structured research and supervision,Bielefeld,Bielefeld,North Rhine-Westphalia
17,18,PhD / Doctorate,BioInterfaces International Graduate School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4324/,Karlsruhe Institute of Technology ,Eggenstein-Leopoldshafen,inquire,English,6 semesters,Any time,Structured research and supervision,Karlsruhe,Karlsruhe,Baden-Württemberg
18,19,PhD / Doctorate,Biological Diversity & Ecology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3670/,University of Göttingen ,Göttingen,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Göttingen,Göttingen,Lower Saxony
19,20,PhD / Doctorate,Bonn Graduate School of Economics (BGSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3626/,University of Bonn ,Bonn,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision,Bonn,Bonn,North Rhine-Westphalia
20,21,PhD / Doctorate,Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Astrophysics (Bonn),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3708/,University of Bonn ,Bonn,inquire,English,6 semesters,Any time,Structured research and supervision,Bonn,Bonn,North Rhine-Westphalia
21,22,PhD / Doctorate,Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics (Bonn),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3886/,University of Bonn ,Bonn,inquire,English,6 semesters,Any time,Structured research and supervision,Bonn,Bonn,North Rhine-Westphalia
22,23,PhD / Doctorate,Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics (Cologne),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4004/,University of Cologne ,Köln,inquire,English,6 semesters,Any time,Structured research and supervision,Cologne,Cologne,North Rhine-Westphalia
23,24,PhD / Doctorate,Cell-Fate Decisions in the Immune System (DFG-SFB 1054 IRTG),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4495/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
24,25,Graduate school,Cellular and Molecular Biology of Plants,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7120/,University of Tübingen ,Tübingen,inquire,English,6 semesters,Any time,Structured research and supervision,Tübingen,Tübingen,Baden-Württemberg
25,26,PhD / Doctorate,CEPLAS - Cluster of Excellence on Plant Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4494/,University of Cologne ,Düsseldorf,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision,Düsseldorf,Düsseldorf,North Rhine-Westphalia
26,27,PhD / Doctorate,CEPLAS - Cluster of Excellence on Plant Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6293/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision,Düsseldorf,Düsseldorf,North Rhine-Westphalia
27,28,PhD / Doctorate,Chemistry (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4782/,University of Göttingen ,Göttingen,inquire,"German, English",More than 9 semesters,"Winter semester, Summer semester",Structured research and supervision,Göttingen,Göttingen,Lower Saxony
28,29,PhD / Doctorate,Chromatin Dynamics (Integrated Research Training Group IRTG-SFB 1064),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4481/,Ludwig-Maximilians-Universität München ,München,inquire,English,8 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
29,30,PhD / Doctorate,CiM-IMPRS PhD Programme in Life and Natural Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4028/,University of Münster ,Münster,inquire,English,6 semesters,Winter semester,Structured research and supervision,Münster,Münster,North Rhine-Westphalia
30,31,PhD / Doctorate,Cognitive Science PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3615/,Osnabrück University ,Osnabrück,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Osnabrück,Osnabrück,Lower Saxony
31,32,PhD / Doctorate,Cologne Graduate School of Ageing Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4165/,University of Cologne ,Köln,inquire,English,6 semesters,Winter semester,Structured research and supervision,Cologne,Cologne,North Rhine-Westphalia
32,33,PhD / Doctorate,CRC 235 - PhD in Emergence of Life,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5622/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
33,34,PhD / Doctorate,DEWIN - Dynamics of Host-Pathogen Interactions,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4383/,Hannover Medical School ,Hannover,inquire,English,6 semesters,Winter semester,Structured research and supervision,Hanover,Hanover,Lower Saxony
34,35,PhD / Doctorate,DKFZ International PhD Programme in Cancer Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4058/,German Cancer Research Center (DKFZ) Heidelberg ,Heidelberg,inquire,English,6 semesters,Any time,Structured research and supervision,Heidelberg,Heidelberg,Baden-Württemberg
35,36,PhD / Doctorate,Doctoral Degree Programme in Gerontology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4584/,FAU Erlangen-Nürnberg ,Nürnberg,inquire,"German, English",4 semesters,"Winter semester, Summer semester",Structured research and supervision,Nuremberg,Nuremberg,Bavaria
36,37,PhD / Doctorate,Doctoral Programme - Statistics: Theory and Methods for Empirical Modelling,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4504/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",4 semesters,"Winter semester, Summer semester",Structured research and supervision,Munich,Munich,Bavaria
37,38,PhD / Doctorate,Doctoral Programme / EBS Business School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3937/,EBS Universität für Wirtschaft und Recht ,Oestrich-Winkel,inquire,English,4 semesters,Any time,Structured research and supervision,Oestrich-Winkel,Oestrich-Winkel,Hesse
38,39,PhD / Doctorate,Doctoral Programme ARUS - Advanced Research in Urban Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4196/,University of Duisburg-Essen ,Essen,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision,Essen,Essen,North Rhine-Westphalia
39,40,PhD / Doctorate,Doctoral Programme Classical and Ancient Studies (PAW),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4206/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
