,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,semester_beginning,online_course_elemen,german_cities_dup,german_cities_y,german_states
0,1,Preparatory course,:prime – Foundation Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6297/,University of Bremen ,Bremen,"September, 2021 - July, 2022",,Bremen,Bremen,Bremen
1,2,Preparatory course,ACCESS2 Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6214/,Heilbronn University of Applied Sciences ,Heilbronn,"September, 2021 - September, 2022",,Heilbronn,Heilbronn,Baden-Württemberg
2,3,Preparatory course,DHBW Bridge-Year,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5161/,Baden-Wuerttemberg Cooperative State University Heidenheim ,Heidenheim an der Brenz,"September 01, 2021 - August 31, 2022 (Registration Deadline March 31, 2021)",,Heidenheim an der Brenz,Heidenheim an der Brenz,Baden-Württemberg
3,4,Preparatory course,FOKuS – Studienstart Deutsch | Vorbereitungssemester für internationale Studieninteressierte,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5168/,Ulm University ,Ulm,"November, 2020 - March, 2021, April - July, 2021 (Registration Deadline January 15, 2021), October, 2021 - February, 2022 (Registration Deadline July 15, 2021)",,Ulm,Ulm,Baden-Württemberg
4,5,Preparatory course,Foundation Year,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5155/,Jacobs University Bremen ,Bremen,"September, 2020 - June, 2021 (Registration Deadline August 15, 2020)",,Bremen,Bremen,Bremen
5,6,Preparatory course,"Foundation Year / Studienkolleg T, W, M Courses",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5166/,Otto von Guericke University Magdeburg ,Magdeburg,"September, 2020 - June, 2021 (Registration Deadline August 15, 2020), January - September, 2021 (Registration Deadline December 15, 2020), March - December, 2021 (Registration Deadline February 15, 2021)",,Magdeburg,Magdeburg,Saxony-Anhalt
6,7,Preparatory course,Freshman Programme of the FH Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5158/,FH Aachen University of Applied Sciences ,Jülich,"October 04, 2021 - August 31, 2022",,Jülich,Jülich,North Rhine-Westphalia
7,8,Preparatory course,Freshman Programme of the FH Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6525/,FH Aachen University of Applied Sciences ,Geilenkirchen,"October 04, 2021 - August 31, 2022",,Geilenkirchen,Geilenkirchen,North Rhine-Westphalia
8,9,Preparatory course,Freshman Programme of the FH Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6909/,FH Aachen University of Applied Sciences ,Geilenkirchen,"October 04, 2021 - August 31, 2022",,Geilenkirchen,Geilenkirchen,North Rhine-Westphalia
9,10,Preparatory course,German Education Gate,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6992/,Hochschule Fresenius - University of Applied Sciences ,Köln,"October 01, 2020 - July 31, 2021, April 01, 2021 - January 31, 2022",,Cologne,Cologne,North Rhine-Westphalia
