,course_type,course_name,course_link,uni_name,uni_city,semester_beginning,online_course_elemen
1,Preparatory course,:prime – Foundation Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6297/,University of Bremen ,Bremen,"September, 2021 - July, 2022",
2,Preparatory course,ACCESS2 Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6214/,Heilbronn University of Applied Sciences ,Heilbronn,"September, 2021 - September, 2022",
3,Preparatory course,DHBW Bridge-Year,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5161/,Baden-Wuerttemberg Cooperative State University Heidenheim ,Heidenheim an der Brenz,"September 01, 2021 - August 31, 2022 (Registration Deadline March 31, 2021)",
4,Preparatory course,FOKuS – Studienstart Deutsch | Vorbereitungssemester für internationale Studieninteressierte,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5168/,Ulm University ,Ulm,"November, 2020 - March, 2021, April - July, 2021 (Registration Deadline January 15, 2021), October, 2021 - February, 2022 (Registration Deadline July 15, 2021)",
5,Preparatory course,Foundation Year,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5155/,Jacobs University Bremen ,Bremen,"September, 2020 - June, 2021 (Registration Deadline August 15, 2020)",
6,Preparatory course,"Foundation Year / Studienkolleg T, W, M Courses",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5166/,Otto von Guericke University Magdeburg ,Magdeburg,"September, 2020 - June, 2021 (Registration Deadline August 15, 2020), January - September, 2021 (Registration Deadline December 15, 2020), March - December, 2021 (Registration Deadline February 15, 2021)",
7,Preparatory course,Freshman Programme of the FH Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5158/,FH Aachen University of Applied Sciences ,Jülich,"October 04, 2021 - August 31, 2022",
8,Preparatory course,Freshman Programme of the FH Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6525/,FH Aachen University of Applied Sciences ,Geilenkirchen,"October 04, 2021 - August 31, 2022",
9,Preparatory course,Freshman Programme of the FH Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6909/,FH Aachen University of Applied Sciences ,Geilenkirchen,"October 04, 2021 - August 31, 2022",
10,Preparatory course,German Education Gate,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6992/,Hochschule Fresenius - University of Applied Sciences ,Köln,"October 01, 2020 - July 31, 2021, April 01, 2021 - January 31, 2022",
11,Preparatory course,INGprep Preparatory Study Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6559/,htw saar - University of Applied Sciences ,Saarbrücken,"March, 2021 - September, 2022 (Registration Deadline January 15, 2021), September, 2021 - March, 2023 (Registration Deadline July 15, 2021)",
12,Preparatory course,International Foundation Programme STEM for International Students,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5297/,Saarland University ,Saarbrücken,"September 16, 2020 - February 12, 2021, March 01 - July 13, 2021 (Registration Deadline January 15, 2021)",
13,Preparatory course,Online Preparation B1-C1,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6906/,Internationale Hochschule SDI München/International University SDI München ,München,Virtual classroom,Online
14,Preparatory course,Pre-College Fulda,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6546/,Fulda University of Applied Sciences ,Fulda,"October, 2021 - September, 2022",
15,Preparatory course,Pre-Study Fulda,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5154/,Fulda University of Applied Sciences ,Fulda,"April 12 - July 30, 2021 (Registration Deadline January 15, 2021), June 28 - September 17, 2021 (Registration Deadline March 15, 2021), October 18, 2021 - February 18, 2022 (Registration Deadline July 15, 2021)",
16,Preparatory course,Preparation Courses T & W | Foundation Year,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6313/,Paderborn University ,Paderborn,"November, 2020 - July, 2021 (Registration Deadline September 30, 2020), April, 2021 - January, 2022 (Registration Deadline February 28, 2021)",
17,Preparatory course,Preparation Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5387/,Kühne Logistics University ,Hamburg,"October 01, 2020 - June 30, 2021",
18,Preparatory course,Preparatory Course: Intensive German for Technical Programmes / Vorbereitungskurs: Deutsch-Intensiv für technische Studiengänge,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6494/,Stralsund University of Applied Sciences ,Stralsund,"September, 2020 - January, 2021 (Registration Deadline August 03, 2020), March - July, 2021 (Registration Deadline January 31, 2021)",
19,Preparatory course,PrepTec,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6965/,Furtwangen University ,Villingen-Schwenningen,"October, 2020 - February, 2021 (Registration Deadline August 31, 2020), March - July, 2021 (Registration Deadline January 31, 2021)",
20,Preparatory course,speakING,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6134/,University of Bremen ,Bremen,"November 02, 2020 - March 31, 2021 (Registration Deadline July 15, 2020), April 01 - September 30, 2021 (Registration Deadline January 15, 2021)",
21,Preparatory course,Study Preparation Brandenburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5248/,University of Potsdam ,Potsdam,"October 04, 2021 - May 27, 2022 (Registration Deadline August 15, 2021)",
22,Preparatory course,University Preparatory German Courses,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6132/,Universität Regensburg ,Regensburg,"April 14 - July 16, 2021 (Registration Deadline January 15, 2021), October 20, 2021 - February 02, 2022 (Registration Deadline July 15, 2021)",
23,Preparatory course,Viadrina Fast Track,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6991/,European University Viadrina ,Frankfurt (Oder),"July 01 - September 30, 2021 (Registration Deadline January 04, 2021)",
24,Preparatory course,Viadrina Intensive Track,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6987/,European University Viadrina ,Frankfurt (Oder),"October 01, 2020 - September 30, 2021, October 01, 2021 - September 30, 2022",
25,Preparatory course,Wildau Foundation Year - Wildau for You,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6133/,Technical University of Applied Sciences Wildau ,Wildau,"September, 2020 - August, 2021, March, 2021 - August, 2022",
