continent,country,Year,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Africa,Egypt,1998/1999,295,168,309,287,51,56
Africa,Egypt,1999/2000,275,161,314,245,62,69
Africa,Egypt,2000/2001,297,156,367,228,67,76
Africa,Egypt,2001/2002,304,163,399,248,76,88
Africa,Egypt,2002/2003,314,157,379,254,78,82
Africa,Egypt,2003/2004,296,157,379,254,79,80
Africa,Egypt,2004/2005,257,135,288,231,72,52
Africa,Egypt,2005/2006,222,114,246,229,60,36
Africa,Egypt,2006/2007,205,110,268,226,66,45
Africa,Egypt,2007/2008,228,88,377,258,70,66
Africa,Egypt,2008/2009,227,109,410,297,85,75
Africa,Egypt,2009/2010,245,150,434,361,96,73
Africa,Egypt,2010/2011,245,151,429,419,115,64
Africa,Egypt,2011/2012,273,173,389,466,107,65
Africa,Egypt,2012/2013,290,236,468,604,118,62
Africa,Egypt,2013/2014,342,274,507,736,143,55
Africa,Egypt,2014/2015,359,336,629,837,170,53
Africa,Egypt,2015/2016,327,469,384,1331,223,54
Africa,Egypt,2016/2017,371,546,444,1662,236,69
Africa,Egypt,2017/2018,415,596,514,2067,255,76
Africa,Egypt,2018/2019,435,718,634,2636,307,92
Africa,Egypt,2019/2020,525,829,669,3178,349,89
Africa,Ethiopia,1998/1999,58,141,153,224,31,100
Africa,Ethiopia,1999/2000,51,129,138,188,33,100
Africa,Ethiopia,2000/2001,52,115,137,163,29,92
Africa,Ethiopia,2001/2002,41,98,126,154,25,87
Africa,Ethiopia,2002/2003,47,90,131,153,24,89
Africa,Ethiopia,2003/2004,47,90,131,153,21,87
Africa,Ethiopia,2004/2005,37,83,111,152,29,83
Africa,Ethiopia,2005/2006,30,73,103,133,21,67
Africa,Ethiopia,2006/2007,29,76,111,115,17,70
Africa,Ethiopia,2007/2008,26,66,101,111,17,80
Africa,Ethiopia,2008/2009,34,78,123,104,16,75
Africa,Ethiopia,2009/2010,37,83,112,126,17,67
Africa,Ethiopia,2010/2011,45,68,116,154,14,73
Africa,Ethiopia,2011/2012,42,76,126,148,16,82
Africa,Ethiopia,2012/2013,45,102,127,151,20,81
Africa,Ethiopia,2013/2014,49,98,115,147,27,80
Africa,Ethiopia,2014/2015,44,103,117,121,26,77
Africa,Ethiopia,2015/2016,44,126,62,159,28,78
Africa,Ethiopia,2016/2017,36,138,75,162,29,71
Africa,Ethiopia,2017/2018,43,149,75,187,37,70
Africa,Ethiopia,2018/2019,36,146,73,193,35,75
Africa,Ethiopia,2019/2020,34,178,57,198,35,63
Africa,Algeria,1998/1999,89,69,85,123,5,9
Africa,Algeria,1999/2000,88,53,94,110,4,10
Africa,Algeria,2000/2001,82,50,97,104,3,10
Africa,Algeria,2001/2002,75,50,92,95,5,8
Africa,Algeria,2002/2003,75,42,103,95,5,8
Africa,Algeria,2003/2004,63,42,103,95,3,8
Africa,Algeria,2004/2005,53,37,81,66,4,5
Africa,Algeria,2005/2006,47,36,75,60,8,3
Africa,Algeria,2006/2007,41,37,78,57,5,4
Africa,Algeria,2007/2008,38,33,67,47,6,2
Africa,Algeria,2008/2009,32,40,68,44,4,-
Africa,Algeria,2009/2010,32,36,66,47,5,-
